company-domain,companyDisplayname,companyName,Column1,Column2
ch.ibm.com,IBM,ch,1,1
icg.ch,ICG,icg,1,1
iconsolutions.ch,ICON Solutions AG,iconsolutions,1,1
ids-scheer.com,IDS Scheer Schweiz,ids-scheer,1,1
idzedi.admin.ch,IDZ EDi,idzedi,1,1
igs-gmbh.ch,IGS GmbH,igs-gmbh,1,1
illutas.com,Illutas,illutas,1,1
impact.ch,Impact AG,impact,1,1
ims.ch,IMS AG,ims,1,1
in4medicine.ch,in4medicine,in4medicine,1,1
indato.ch,indato,indato,1,1
inet.ch,iNet IT AG,inet,1,1
,Infoguard,infoguard,0,1
bern.ch,Informatikdienste Stadt Bern,bern,1,1
id.unibe.ch,Informatikdienste Universität Bern,id,1,1
infowell.ch,Infowell GmbH,infowell,1,1
infrapay.ch,Infrapay AG,infrapay,1,1
infraxis.com,Infraxis AG,infraxis,1,1
inftec.ch,InfTec GmbH,inftec,1,1
ib-rudolph.de,Ingenieurbüro Rudolph,ib-rudolph,1,1
,INNOQ,innoq,0,1
innoworx.ch,innoworx GmbH,innoworx,1,1
,inpeek,inpeek,0,1
insel.ch,Insel Gruppe,insel,1,1
,Inseya,inseya,0,1
intagos.com,INTAGOS GmbH,intagos,1,1
,integon GmbH,integon,0,1
intersys.ch,Intersys AG,intersys,1,1
inventique.net,Inventique GmbH,inventique,1,1
ipt.ch,ipt,ipt,1,1
isb.admin.ch,ISB,isb,1,1
isceco.admin.ch,ISC-ECO,isceco,1,1
isc-ejpd.admin.ch,ISC-EJPD,isc-ejpd,1,2
,isolutions AG,isolutions,0,1
it-logix.ch,IT-Logix AG,it-logix,1,1
,it-processing AG,it-processing,0,1
itarco.com,itarco AG,itarco,1,1
,ITech Consult AG,itech,0,1
iten-engineering.ch,Iten Engineering,iten-engineering,1,1
iteratec.ch,iteratec,iteratec,1,1
itheca.com,itheca Consulting,itheca,1,1
itinmind.ch,ITinMIND  GmbH,itinmind,1,1
itpoint.ch,ITpoint,itpoint,1,1
itrias.com,itrias GmbH,itrias,1,1
itserve.ch,itServe,itserve,1,1
iub-ag.ch,IUB AG,iub-ag,1,1
jacid.com,JACiD GmbH,jacid,1,1
,Jentic,jentic,0,1
joergreuter.ch,JRC,joergreuter,1,1
kacon.ch,kacon gmbh,kacon,1,1
,KAIO,kaio,0,1
ag.ch,Kanton Aargau,ag,1,1
fk.be.ch,Kanton Bern,fk,1,1
